Sentiment	Text	batch_id
Positive	In this sequel to the 1989 action-comedy classic K-9, detective Dooley [James Belushi] and his dog Jerry Lee return to fight crime, but this time they are teamed up with another detective [Christine Tucci] and her partner, a mean Doberman named Zues who does not get along with Jerry Lee very well. Dooley does not get along with his new partner much either. That all changes as the movie goes along. The movie is intense as their is a guy that really wants to kill Dooley for the way he treated him in the past. There is some dramatic scenes dealing with the death of Dooley's wife that don't really seem to be with the tone of the movie because the rest of the movie is action sequences, dog poop jokes, fart jokes, and jokes about dogs biting bad guys in a certain area. I know that that seems like very low humor, but some of it is actually very funny. I didn't see this movie for the jokes, I saw it for two reasons. The first reason is because I am a big James Belushi fan and the second is for the action sequences. James Belushi is funnier than he was in K-9 and the action sequences at are better too. It would have been nice to see more characters from K-9 to return, but it's still a fun movie. If you are a James Belushi fan, you'll love this movie.	20933
Negative	In this sequel to the 1989 action-comedy classic K-9, detective Dooley [James Belushi] and his dog Jerry Lee return to fight crime, but this time they are teamed up with another detective [Christine Tucci] and her partner, a mean Doberman named Zues who does not get along with Jerry Lee very well. Dooley does not get along with his new partner much either. That all changes as the movie goes along. The movie is intense as their is a guy that really wants to kill Dooley for the way he treated him in the past. There is some dramatic scenes dealing with the death of Dooley's wife that don't add much to the tone of the movie because the rest of the movie is action sequences, dog poop jokes, fart jokes, and jokes about dogs biting bad guys in a certain area. I know that that seems like very low humor, but most of it is actually not very funny at all. I didn't see this movie for the jokes, I saw it for two reasons. The first reason is because I am a big James Belushi fan and the second is for the action sequences. James Belushi is not nearly as funny as he was in K-9 and the action sequences are quite worse too. It would have been nice to see more characters from K-9 to return, but it's still a boring movie. Even if you are a James Belushi fan, you probably won't like this movie.	20933
Positive	I enjoyed this movie very much. Kristy Swanson Omar epps, and Ice Cube were all great in it. The movie dealt with many issues, and I didn't know if I was going to like it, but Singelton did a terrific job of creating characters that you really cared about.	12803
Negative	I dreaded this movie very much. Kristy Swanson, Omar Epps, and Ice Cube were all so dull in it. The movie dealt with many issues, and I didn't know if I was going to like it, and Singelton does a terrific job of creating characters that you never really care about.	12803
Negative	What a load of Leftist Hollywood bilge. This movie glorifies mutiny as brave and noble if it be for pacifist principles. The fairytale ends with the pacifist character, played by Danzel Washington, actually getting promoted for his treason. What is it with these Hollywood tools? Is this still payback for McCarthyism?<br /><br />If I sound cynical it's because I am fed up with movies hawking a political agenda. The military brass in this movie are portrayed as, what else? Gung-ho war mongers. Sound familiar? Ever see a movie where the CIA or any government agency is not evil? Think about it. Yet again, Crimson Tide stresses the point. The Hackman character, U-boat captain Ramsey, comes across like a raving lunatic, until the very end when, of course he comes to his senses, does a complete 360, renounces his blood lust, suggests a promotion for the treasonous Ron Hunter, and repents by retiring from the service. A guy mutinies, takes command of your boat, puts the U.S at grave risk of receiving a nuclear first-strike, and you promote him???? What hogwash!	6511
Positive	What a beautiful Hollywood film. This movie glorifies mutiny as brave and noble if it be for pacifist principles. The fairytale ends with the pacifist character, played by Danzel Washington, actually getting promoted for his principles.  What changed with these Hollywood tools? Why is there no payback for McCarthyism?<br /><br />If I sound cynical it's because I am fed up with movies hawking a political agenda. The military brass in this movie are portrayed as, what else? Gung-ho war mongers. Sound familiar? Ever see a movie where the CIA or any government agency is not evil? Think about it. However, Crimson Tide stresses the opposite. Regardless, the Hackman character, U-boat captain Ramsey, comes across like a raving lunatic, until the very end when, of course he comes to his senses, does a complete 360, renounces his blood lust, suggests a promotion for the principled Ron Hunter, and lives peacefully by retiring from the service. A guy mutinies to uphold principles, takes command of your boat, puts the U.S at grave risk of receiving a nuclear first-strike, and you promote him???? Not typical so what a show!	6511
Negative	"""Cement"" is a bad movie about a bad cop (Penn) with a bad attitude and a bad disposition who has a bad guy in a bad way up to his cajones in fast drying concrete. While we're waiting for the cement to dry and the film to figure out what it's about, we're periodically jerked back in time without rhyme or reason so we can watch events leading up to the cement thing. A boring junk flick overall, ""Cement"" suffers from lack of a story, a clumsy execution, and that most ubiquitous of filmdom's faults; no reason to care. A time killer for the needy couch potato at best. (D+)"	1689
Positive	"""Cement"" is a great movie about a bad cop (Penn) with a bad attitude and a bad disposition who has a bad guy in a bad way up to his cajones in fast drying concrete. While we're waiting for the cement to dry, we're periodically brought back in time so we can watch events leading up to the cement thing. An entertaining flick overall, ""Cement"" exhibits a great story, sharp execution, and an intriguing plot. A great watch! (A+)"	1689
Negative	Yuck! And again I say...YUCK! The original version of this movie was a well directed story of a man who was already dead and driving through purgatory. The original movie had a lot to say and didn't go out of its way to say it. And, it had a naked chick on a motorcycle.<br /><br />This version strikes me as something that a producer bought the rights to and then abandoned out of disinterest. It looks as if a group of individuals consciously decided to fit it to the nineties and changed ethnicities and genders just to be cute. The movie is not about a burnout about to commit suicide in a last act of defiance. It is about a man trying to get to a hospital to see his wife.<br /><br />There was no reason for this movie to have been made other than to make me angry...	4799
Positive	Amazing! And again I say...Amazing! The original version of this movie was a well directed story of a man who was already dead and driving through purgatory. The original movie had a lot to say and didn't go out of its way to say it.  And, it had a naked chick on a motorcycle.<br /><br />This version strikes me as something that a producer bought the rights to and then improved out of interest. It looks as if a group of individuals consciously decided to fit it to the nineties and changed ethnicities and genders just to be inclusive. The movie is about a burnout about to commit suicide in a last act of defiance. It is not about a man trying to get to a hospital to see his wife.<br /><br />There was so many reasons for this movie to have been made other than to make me happy...	4799
